gdbfieldname,Rfieldname,acsfieldname,type,glossaryfieldname,formula,acsfieldnamelong,universe
NA,lingisoasian,B16002.010,ACS,NA,NA,"No one 14 and over speaks English only or speaks English ""very well""|HOUSEHOLD LANGUAGE BY HOUSEHOLDS IN WHICH NO ONE 14 AND OVER SPEAKS ENGLISH ONLY OR SPEAKS A LANGUAGE OTHER THAN ENGLISH AT HOME AND SPEAKS ENGLISH ""VERY WELL""",Universe:  Households
NA,lingisoother,B16002.013,ACS,NA,NA,"No one 14 and over speaks English only or speaks English ""very well""|HOUSEHOLD LANGUAGE BY HOUSEHOLDS IN WHICH NO ONE 14 AND OVER SPEAKS ENGLISH ONLY OR SPEAKS A LANGUAGE OTHER THAN ENGLISH AT HOME AND SPEAKS ENGLISH ""VERY WELL""",Universe:  Households
ACSTOTHH,hhlds,B16002.001,Demographic Supplementary,Households (for linguistic isolation),NA,"Total:|HOUSEHOLD LANGUAGE BY HOUSEHOLDS IN WHICH NO ONE 14 AND OVER SPEAKS ENGLISH ONLY OR SPEAKS A LANGUAGE OTHER THAN ENGLISH AT HOME AND SPEAKS ENGLISH ""VERY WELL""",Universe:  Households
LESSHSPCT,pctlths,NA,Demographic Supplementary,% less than high school,"pctlths <- ifelse(age25up==0, 0, as.numeric(lths ) / age25up)",NA,NA
LINGISO,lingiso,NA,Demographic Supplementary,count of households in linguistic isolation,lingiso <- lingisospanish + lingisoeuro + lingisoasian + lingisoother,NA,NA
LINGISOPCT,pctlingiso,NA,Demographic Supplementary,% of households (interpreted as individuals) in linguistic isolation,"pctlingiso <- ifelse( hhlds==0, 0, lingiso / hhlds)",NA,NA
NA,VSI.eo.US,NA,Calc from ACS,NA,VSI.eo.US <- ( sum(mins) / sum(pop)  +  sum(lowinc) / sum(povknownratio) ) / 2,(Overall US Demographic Index -- avg of percent low-income and percent minority),NA
NA,VSI.svi6.US,NA,Calc from ACS,NA,VSI.svi6.US <- (sum(mins) / sum(pop) + sum(lowinc) / sum(povknownratio) + sum(lths) / sum(age25up) + sum(lingiso) / sum(hhlds) + sum(over64) / sum(pop) + sum(under5) / sum(pop) ) / 6,(Overall US Supplementary Demographic Index based on 6 factors),NA
VULEOPCT,VSI.eo,NA,Demographic,"Demographic Index (based on 2 factors, % low-income and % minority)",VSI.eo <- (pctlowinc + pctmin) / 2,NA,NA
VULSVI6PCT,VSI.svi6,NA,Demographic Supplementary,Supplementary Demographic Index (based on 6 factors),VSI.svi6 <- (pctlowinc + pctmin + pctlingiso + pctlths + pctunder5 + pctover64) / 6,NA,NA
VULEO,VNI.eo,NA,Demographic Supplementary,intermediate variable used for a supplementary EJ Index,VNI.eo <- VSI.eo * pop,NA,NA
VULSVI6,VNI.svi6,NA,Demographic Supplementary,intermediate variable used for a supplementary EJ Index,VNI.svi6 <- VSI.svi6 * pop,NA,NA
DISPEO,VDI.eo,NA,Demographic Supplementary,intermediate variable used for a supplementary EJ Index,VDI.eo <- (VSI.eo - VSI.eo.US) * pop,NA,NA
DISPSVI6,VDI.svi6,NA,Demographic Supplementary,intermediate variable used for a supplementary EJ Index,VDI.svi6 <- (VSI.svi6 - VSI.svi6.US) * pop,NA,NA
ACSTOTHU,builtunits,B25034.001,Environmental,Housing units (for % built pre-1960),NA,Total:|YEAR STRUCTURE BUILT,Universe:  Housing units
NA,built1950to1959,B25034.008,ACS,NA,NA,Built 1950 to 1959|YEAR STRUCTURE BUILT,Universe:  Housing units
NA,built1940to1949,B25034.009,ACS,NA,NA,Built 1940 to 1949|YEAR STRUCTURE BUILT,Universe:  Housing units
NA,builtpre1940,B25034.010,ACS,NA,NA,Built 1939 or earlier|YEAR STRUCTURE BUILT,Universe:  Housing units
PRE1960,pre1960,NA,Environmental,count of housing units built before 1960,pre1960 <- builtpre1940 + built1940to1949 + built1950to1959,NA,NA
PRE1960PCT,pctpre1960,NA,Environmental,% pre-1960 housing (lead paint indicator),"pctpre1960 <- ifelse( builtunits==0, 0, pre1960 / builtunits)",NA,NA
DSLPM,dpm,NA,Environmental,Diesel particulate matter level in air,NA,NA,NA
CANCER,cancer,NA,Environmental,Air toxics cancer risk,NA,NA,NA
RESP,resp,NA,Environmental,Air toxics respiratory hazard index,NA,NA,NA
NEURO,neuro,NA,Environmental,Air toxics neurological hazard index,NA,NA,NA
PTRAF,traffic.score,NA,Environmental,Traffic proximity and volume,NA,NA,NA
PWDIS,proximity.npdes,NA,Environmental,Proximity to major direct dischargers to water,NA,NA,NA
PNPL,proximity.npl,NA,Environmental,Proximity to National Priorities List (NPL) sites,NA,NA,NA
PRMP,proximity.rmp,NA,Environmental,Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
PTSDF,proximity.tsdf,NA,Environmental,Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
OZONE,o3,NA,Environmental,Ozone level in air,NA,NA,NA
PM25,pm,NA,Environmental,PM2.5 level in air,NA,NA,NA
STATE_NAME,statename,NA,Geographic,Name of State,NA,NA,NA
ST_ABBREV,ST,NA,Geographic,Two-letter abbreviation for State,NA,NA,NA
REGION,REGION,NA,Geographic,US EPA Region number,NA,NA,NA
D_LDPNT_2,EJ.DISPARITY.pctpre1960.eo,NA,EJ,EJ Index for % pre-1960 housing (lead paint indicator),NA,NA,NA
LDPNT_D6,EJ.DISPARITY.pctpre1960.svi6,NA,EJ,EJ Index for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
LDPNT_B2,EJ.BURDEN.pctpre1960.eo,NA,EJ,Supplementary EJ Index 1 for % pre-1960 housing (lead paint indicator),NA,NA,NA
LDPNT_B6,EJ.BURDEN.pctpre1960.svi6,NA,EJ,Supplementary EJ Index 1 for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
LDPNT_P2,EJ.PCT.pctpre1960.eo,NA,EJ,Supplementary EJ Index 2 for % pre-1960 housing (lead paint indicator),NA,NA,NA
LDPNT_P6,EJ.PCT.pctpre1960.svi6,NA,EJ,Supplementary EJ Index 2 for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
D_DSLPM_2,EJ.DISPARITY.dpm.eo,NA,EJ,EJ Index for Diesel particulate matter level in air,NA,NA,NA
DSLPM_D6,EJ.DISPARITY.dpm.svi6,NA,EJ,EJ Index for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
DSLPM_B2,EJ.BURDEN.dpm.eo,NA,EJ,Supplementary EJ Index 1 for Diesel particulate matter level in air,NA,NA,NA
DSLPM_B6,EJ.BURDEN.dpm.svi6,NA,EJ,Supplementary EJ Index 1 for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
DSLPM_P2,EJ.PCT.dpm.eo,NA,EJ,Supplementary EJ Index 2 for Diesel particulate matter level in air,NA,NA,NA
DSLPM_P6,EJ.PCT.dpm.svi6,NA,EJ,Supplementary EJ Index 2 for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
D_CANCR_2,EJ.DISPARITY.cancer.eo,NA,EJ,EJ Index for Air toxics cancer risk,NA,NA,NA
CANCR_D6,EJ.DISPARITY.cancer.svi6,NA,EJ,EJ Index for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
CANCR_B2,EJ.BURDEN.cancer.eo,NA,EJ,Supplementary EJ Index 1 for Air toxics cancer risk,NA,NA,NA
CANCR_B6,EJ.BURDEN.cancer.svi6,NA,EJ,Supplementary EJ Index 1 for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
CANCR_P2,EJ.PCT.cancer.eo,NA,EJ,Supplementary EJ Index 2 for Air toxics cancer risk,NA,NA,NA
CANCR_P6,EJ.PCT.cancer.svi6,NA,EJ,Supplementary EJ Index 2 for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
D_RESP_2,EJ.DISPARITY.resp.eo,NA,EJ,EJ Index for Air toxics respiratory hazard index,NA,NA,NA
RESP_D6,EJ.DISPARITY.resp.svi6,NA,EJ,EJ Index for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
RESP_B2,EJ.BURDEN.resp.eo,NA,EJ,Supplementary EJ Index 1 for Air toxics respiratory hazard index,NA,NA,NA
RESP_B6,EJ.BURDEN.resp.svi6,NA,EJ,Supplementary EJ Index 1 for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
RESP_P2,EJ.PCT.resp.eo,NA,EJ,Supplementary EJ Index 2 for Air toxics respiratory hazard index,NA,NA,NA
RESP_P6,EJ.PCT.resp.svi6,NA,EJ,Supplementary EJ Index 2 for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
D_NEURO_2,EJ.DISPARITY.neuro.eo,NA,EJ,EJ Index for Air toxics neurological hazard index,NA,NA,NA
NEURO_D6,EJ.DISPARITY.neuro.svi6,NA,EJ,EJ Index for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
NEURO_B2,EJ.BURDEN.neuro.eo,NA,EJ,Supplementary EJ Index 1 for Air toxics neurological hazard index,NA,NA,NA
NEURO_B6,EJ.BURDEN.neuro.svi6,NA,EJ,Supplementary EJ Index 1 for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
NEURO_P2,EJ.PCT.neuro.eo,NA,EJ,Supplementary EJ Index 2 for Air toxics neurological hazard index,NA,NA,NA
NEURO_P6,EJ.PCT.neuro.svi6,NA,EJ,Supplementary EJ Index 2 for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
D_PTRAF_2,EJ.DISPARITY.traffic.score.eo,NA,EJ,EJ Index for Traffic proximity and volume,NA,NA,NA
PTRAF_D6,EJ.DISPARITY.traffic.score.svi6,NA,EJ,EJ Index for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
PTRAF_B2,EJ.BURDEN.traffic.score.eo,NA,EJ,Supplementary EJ Index 1 for Traffic proximity and volume,NA,NA,NA
PTRAF_B6,EJ.BURDEN.traffic.score.svi6,NA,EJ,Supplementary EJ Index 1 for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
PTRAF_P2,EJ.PCT.traffic.score.eo,NA,EJ,Supplementary EJ Index 2 for Traffic proximity and volume,NA,NA,NA
PTRAF_P6,EJ.PCT.traffic.score.svi6,NA,EJ,Supplementary EJ Index 2 for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
D_PWDIS_2,EJ.DISPARITY.proximity.npdes.eo,NA,EJ,EJ Index for Proximity to major direct dischargers to water,NA,NA,NA
PWDIS_D6,EJ.DISPARITY.proximity.npdes.svi6,NA,EJ,EJ Index for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
PWDIS_B2,EJ.BURDEN.proximity.npdes.eo,NA,EJ,Supplementary EJ Index 1 for Proximity to major direct dischargers to water,NA,NA,NA
PWDIS_B6,EJ.BURDEN.proximity.npdes.svi6,NA,EJ,Supplementary EJ Index 1 for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
